"","S-BART","T-BART","X-BART","R-LASSO","R-BOOST","CF","BCF","S-RF","T-RF","X-RF"
"1",-2.62887799055273,-2.35892175934819,-2.75518248845916,-2.54423162236462,-3.95806052228569,-2.73279089002901,-2.27476065687525,-1.16831998692792,-2.13991207224945,-2.19087851700395
"2",-1.61176678488405,-1.63103188221827,-1.9863829731455,-1.73542299172856,-5.76148508679193,-1.78099227481081,-1.08094349499504,-0.672216422500316,-2.18506177145332,-2.53241542449896
"3",-4.12185827031425,-4.15699994688811,-4.34412021583962,-4.50596178489292,-7.81892920854584,-3.75866743783538,-4.00020838743502,-3.91658683413742,-4.602077821268,-3.93745986731328
"4",-2.5967548997444,-2.38314829658782,-2.80511913092532,-2.97661690259373,-8.03938679880274,-3.15627024617032,-2.14825434209505,-1.02969327782908,-2.40290452114257,-3.64881304332069
"5",-2.08875252704896,-1.74218899879092,-2.20526602441402,-2.16458594964724,-5.34141860169949,-2.88365635203454,-1.3845922603752,-0.633189309396676,-2.14958394699288,-2.06875792207995
"6",-3.23935419536879,-3.17408491799351,-3.45935388134514,-3.38710846815913,-5.50326112466922,-3.66526918086163,-3.11363232648989,-2.50655362287063,-3.22724198948411,-3.49063946229075
"7",-3.13172451840068,-3.23861870840948,-3.45009013232634,-3.33221147640878,-8.15425784961394,-2.84307440222715,-2.83524782168378,-2.60968818128952,-3.72932364307332,-3.64230502339686
"8",-2.36760983265277,-2.31707147895309,-2.58304116547959,-2.31840758407112,-6.24939796291439,-2.24599173549884,-1.88173752837355,-0.945505105168678,-2.43425226830126,-2.17100022186316
"9",-3.32747846814905,-3.27772592469978,-3.47790313206383,-3.42142204124777,-6.70220888142799,-3.34673262926744,-2.99724167310072,-2.19488570161397,-3.8068475325118,-3.69394290038902
"10",-1.13787087262598,-1.1301493006818,-1.25657150168188,-1.09168836323065,-2.58796567489396,-1.44866726659546,-0.647877182639052,0.308541455234471,-1.37111492767402,-1.41074535403956
"11",-2.89372374237953,-2.70290586903239,-3.06565311046253,-3.33095623527799,-7.65835481841004,-2.99988903174587,-2.92148824120483,-1.61689875816919,-2.68468839193216,-3.42045640652732
"12",-3.37608811749165,-3.35947366290006,-3.68802957881451,-3.82725054929244,-5.50595777257573,-3.34499276947613,-3.02335542751674,-3.24649691755296,-4.21938628965266,-4.11059265200973
"13",-1.28182880670957,-1.02288224947433,-1.26902433764668,-1.14477144521781,-5.91959849339685,-1.16729729971255,-0.55453712582322,-0.206417386602297,-1.32578369279981,-1.52902370478226
"14",-2.66769170144128,-2.61045828392766,-2.87119732225632,-2.98502988184197,-6.75105042557047,-3.08663847367646,-2.46995049438469,-1.52168992904771,-2.82069039951971,-3.2880375196408
"15",-1.06468328316701,-1.09020893717202,-1.28127451243513,-1.20943239166649,-5.77573575036189,-1.25438583116135,-0.609258879732926,0.164271591608473,-1.55042961099732,-1.5592621022442
"16",-2.4372437078584,-2.49438888992839,-2.69728601727938,-2.97097649534324,-7.14682016410736,-2.3538626535416,-2.35777460204044,-1.63177430402612,-2.83632680952865,-2.90779317829038
"17",-3.69350058632494,-3.7160127499325,-3.81242053387258,-3.75659627335444,-7.60406583324984,-4.09157651686894,-3.12585595126785,-2.9309175933848,-3.73898197705798,-4.59792396621427
"18",-1.89605832619792,-1.77776111401961,-2.04008170521306,-2.38131989098879,-4.5304131149715,-2.045607053584,-2.01400578473018,-0.832104772225015,-1.8329068060059,-1.48037932405815
"19",-1.51036388863951,-1.58976061370051,-1.74894786326416,-1.54028076913224,-4.52928560541253,-1.24834448830464,-1.05725316360999,0.000713493742457851,-1.79465315717045,-1.5161494713685
"20",-1.67783508537674,-1.64638715396976,-1.87320504759173,-1.63774843329581,-6.13940713800395,-1.5796410477557,-1.35790527070512,-0.676047244928038,-1.9044801333533,-1.78844845977237
"21",-2.28490396317463,-2.17109195196254,-2.22687133009207,-2.21209875481017,-6.51459190867719,-2.72856307993955,-1.66336657519468,-1.41698323295981,-2.74350522498823,-3.02630587827275
"22",-2.14423900775267,-1.95080064174275,-2.14688739965587,-2.23862268380131,-2.55616943983293,-2.24857930783421,-1.54917771803854,-0.98161367039384,-2.23824509580463,-2.53992611715627
"23",-2.51876811517517,-2.24846938079516,-2.6390179109979,-2.55844581171108,-4.5444116103486,-2.42134459867706,-1.95732754739686,-1.3991043567252,-2.63317395462582,-2.48451201512564
"24",-3.58325060597928,-3.39042581627873,-3.70476629069258,-3.75116046183133,-8.22001084608904,-3.63888387365967,-2.93527707702021,-2.49676460879241,-3.28813686103743,-3.43752954844167
"25",-2.64134804643702,-2.52071821832865,-2.92598648875582,-2.43150686628986,-6.18021023760759,-2.91201885803609,-2.30628912968995,-1.60893510746432,-2.96350029445797,-3.34047535838867
"26",-1.63843224668201,-1.82753939017266,-2.18266362595035,-1.68310551057572,-3.97193498570261,-1.49902929979244,-1.42423679179525,-0.677732660212446,-2.04199031560881,-2.47299152455653
"27",-1.42941381812323,-1.345390212605,-1.6092396040859,-1.29430357559181,-4.6185292757407,-1.39811527853023,-0.805323272543974,-0.822783646117023,-2.15548363627073,-2.34517942736532
"28",-4.42874559974552,-4.28384055613701,-4.67054049321031,-4.73813324646018,-7.78556436782664,-4.32397751835841,-4.2221623124588,-4.25547616765965,-4.95092553342566,-5.12289561141419
"29",-0.240672072219592,-0.167527373707951,-0.527519928495947,-0.761857535952712,-4.56609331732941,-0.523415834201866,-0.060279657390317,0.948416772271203,-0.615256136534885,-1.01868135378805
"30",-3.29130584764717,-3.48513347690086,-3.63424664230449,-3.59507049744907,-7.66584589597131,-3.20412136173162,-2.86865375420804,-3.23708331285989,-4.32348023473232,-3.58466260933451
"31",-1.68076713989088,-1.79079079211474,-1.83789130373716,-1.55379991613288,-3.27008157112603,-1.64751584789223,-1.32054930164783,-0.29163912333806,-1.91990502239701,-2.13162736686718
"32",-3.32696407517269,-3.06888186743934,-3.42725048915995,-3.34028818391093,-6.64129290290108,-3.41777868097853,-2.78687861814198,-2.81398023180955,-3.52364612414688,-4.13459390315526
