"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.342284526463282,0.343504369274755,0.198472103754245,0.198101808180859,0.00137122863093432,0.00329604844239269,0.342353087976405,0.351533863931902,0.203249817736435,0.210427731469715,0.00157322833679194,0.00366341846677644
"T-BART",0.3700278248451,0.396993663297905,0.20532831067828,0.214814458167159,0.00137985445317798,0.00331124775762453,0.379906428986946,0.43841185338876,0.214214011157773,0.221538709025001,0.00161157998186736,0.00379614238679109
"X-BART",0.368175985822585,0.38404474621511,0.23263897673292,0.239975999670682,0.00137316981513503,0.00331160265853172,0.36605924927991,0.401000667288925,0.225374949702018,0.243724020670985,0.00158648249625293,0.00375649321881611
"R-LASSO",0.371987990427672,0.372644664484674,0.333626084098956,0.337009561896689,0.00138138031966786,0.003335284107156,0.352955155326642,0.371851177676911,0.343210647503976,0.359230619935787,0.00156879211882773,0.00362123707693099
"R-BOOST",0.494643429220995,0.508695319070068,0.532872254308719,0.531468831459531,0.0013807892467843,0.00345969397929845,0.480165918619512,0.537078788681144,0.556477411473121,0.576527498090983,0.00213269358870083,0.00347522179765933
"CF",0.366451480663513,0.378635426625593,0.290027945472369,0.289764187912642,0.00138544152265756,0.00330405885561142,0.375870260299626,0.403395791515637,0.28114986316513,0.306851492943575,0.00160988830867641,0.00366877274450129
"BCF",0.358544735524569,0.364201015980074,0.224657531280441,0.223547387414751,0.00137935794085777,0.00326591673157736,0.381140876134595,0.396496554934241,0.243464243532344,0.247459272495798,0.00158303782987636,0.00377923865707408
"S-RF",0.296146649535406,0.318052096645164,0.196963697478611,0.178590440310528,0.00144197440625976,0.00321185962763522,0.247990478085243,0.309594070180736,0.161256942062233,0.164456940277562,0.00133863965913365,0.00398504208025373
"T-RF",0.398826536574115,0.456258959453579,0.191497820953406,0.254946284823665,0.00120300376313757,0.00338158951823497,0.407778723264279,0.556017228249902,0.176538985563357,0.314142888906073,0.00132926690044053,0.00402801134579103
"X-RF",0.369936081078715,0.391709844090493,0.253006009411344,0.255216463801497,0.00133500301100801,0.0032722882475344,0.381414633546903,0.433430751205627,0.227300108142632,0.291926933285476,0.00154973856871463,0.0038921301782254
