"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",-0.794099838059983,-0.787182360708456,1.84331964058058,1.84165972020015,0.1507697445099,0.152412163662475,-0.91713637358213,-0.909683397402577,1.8922658582239,1.90576838203679,0.191200570784801,0.191193567455226
"T-BART",-1.77386425750182,-1.74867103386294,6.6549781357663,6.61717626026013,0.147808532492988,0.15175907208674,-0.991690603036834,-0.940190106720058,6.78235949941127,6.72804330922166,0.185866262213444,0.192603672477444
"X-BART",-0.533301295364336,-0.515886089323837,5.08572484706368,5.05208766014243,0.149807827782346,0.152688645735988,-1.38239599717605,-1.29492828995575,5.06156162628479,5.04304757281592,0.187275381126776,0.192711585788635
"R-LASSO",-1.46968455357799,-1.4641963870178,2.3151404798334,2.30802990316039,0.150998278767105,0.152491594245731,-1.82975052374694,-1.83924416722981,2.50169770535571,2.52628356146258,0.191551883552365,0.191088580376077
"R-BOOST",-5.75351494072623,-5.62661771596326,11.9796125001189,11.8394528699243,0.14755518338551,0.153137495888599,-5.8239790892296,-5.84546218637788,12.2526573243857,12.0420995151148,0.179092690437576,0.196068864372659
"CF",-1.44057934220831,-1.42069545197359,5.29477861338972,5.26639716360483,0.151306204305911,0.152271718209744,-1.96410359115058,-1.88406540278003,5.37758978941961,5.31095220119584,0.193936180232231,0.191811973549182
"BCF",0.717999794122725,0.731267956498292,2.89205933497861,2.89138111789906,0.1505627068447,0.152503478473812,0.150599263153718,0.18080873654162,2.87614661380949,2.88899049198295,0.189565751457224,0.19168926352547
"S-RF",1.43370531277537,1.48694100405833,7.63568459436797,6.80046576159609,0.140413222011954,0.151706967669367,2.25149612971035,2.21146385916225,8.00957163431996,6.82671156513654,0.167502538120056,0.193682943418289
"T-RF",-2.42054457962532,-2.22600198490109,16.7566536494179,14.4734166818908,0.126882890383928,0.152417091178064,-0.755419652876935,-0.875787463770709,17.1793741799249,14.6172386701352,0.142427632496513,0.200352608215124
"X-RF",-0.662584733886032,-0.667045496267808,9.2140147658899,9.05761530198333,0.146612308619021,0.152209671714083,-1.25743553870864,-1.05919072041079,9.51247168589213,9.00372941320289,0.176787892154181,0.193723892894652
