CMGP,NSGP,Logistic
3.617096162027907,-0.12070958137046792,1.7258714231135304
-6.705418555957502,-5.602671600632395,-5.726860832827136
-7.107424197956173,-9.389664649226003,-6.066188215912771
-4.878908530940083,-5.444479865799679,-6.553945976451783
-4.80903061917644,-4.805871252529813,-5.2809335664464925
-0.8052148800140416,-0.4142298239219868,-0.6698907536516413
-5.677202628062346,-5.652218415629885,-7.457612167500321
-2.942219056649779,-3.3575925888287736,-2.5117912096168604
-1.2075857476735068,-0.7232679495914915,-0.7876462694251654
2.0367824755723407,3.16140447422952,0.9606683185274448
-1.4477228975670111,-0.7877267566795958,-1.547880338305239
-4.7595671345527775,-4.449988043038212,-5.243297243215308
-4.101417513230475,-4.482342617146181,-4.097216741567387
-9.935140519196898,-9.716929731392204,-10.983428874074791
-7.684438009662731,-7.662144894356586,-9.010770189740112
-3.431440955272016,-3.389985904734084,-2.25708251312123
-4.291197735091253,-4.282565016303232,-6.217752086748349
-4.541281582170249,-4.655582184737272,-5.272517966187911
-3.2665556164334895,-3.37547657907781,-3.132815194179994
-0.10187513849444581,0.15027954409077007,-0.07592783528613278
-3.4252397036894844,-4.548199333576937,-4.3480133923212705
-6.161858282942181,-8.435764294569736,-5.970322476037968
-3.5391553446563497,-3.322481540221007,-2.1292125380663816
-1.1821317473411743,-3.6273139132188588,-3.674606582636667
-5.214047102732139,-5.088185865818376,-3.506160092258664
-8.983599704365085,-7.907045940215819,-8.679460577675027
-3.9092566192589477,-4.024105046205942,-5.9752499397781955
-1.0487129463265146,-2.40722888620626,-1.9451090597546477
-2.244938076849495,-2.23640313991635,-2.8994184063345423
-3.7671533375388178,-3.760713200776439,-5.13616772100465
-12.066798299997632,-12.18950193558727,-12.45637037699773
-3.4933373108526387,-3.0465625602032125,-3.2341197100375814
-6.289474094036743,-6.212025464081997,-7.422203567533502
-4.800896488149442,-5.457117587014864,-5.043168716741412
0.31079025070460725,-1.0089695599206858,-0.8926484073941937
-1.5659142220941573,-1.7381541043474655,-3.34157503545741
-4.16671805358043,-4.18521750276358,-4.897760711558637
-2.2314578495487756,-2.1924928174187674,-2.9999746445475686
-8.124872702046703,-6.166427612224345,-7.208377966110859
-6.699347355045393,-5.985170881847602,-5.800280991569605
-1.1985078225196233,-1.7039384364533023,-0.3615191291046424
-0.5143600645528829,-2.6960281111118856,-2.4238359225680055
-4.069808967847539,-4.71903263911899,-2.856189444093293
-4.476660444537235,-5.709709679757707,-5.368869129104383
-3.6236370697666254,-3.575467581973826,-5.015250591914876
-1.4684960118682744,-1.9135729462577251,-1.8340219113089664
-1.6929175420208078,-1.6081853273172542,-2.493600884589245
-7.446050778330344,-5.977916786544886,-7.052722224663545
-4.034160706436569,-3.539198108090526,-3.8728757706196686
2.5147129065048297,2.52069597295022,1.470023021397825
-1.709796821120777,-1.629993599995383,-1.5995914458982006
-2.757785837006707,-2.759219294670116,-2.5000191736097297
-3.3038788361509606,-2.7016897273335125,-4.0693411982628485
-6.233076196879208,-6.229743641449235,-5.981416915139235
-2.872114575117608,-2.758225038651233,-3.525100847013747
-3.469609829949972,-3.4229337428382265,-2.987623623036792
-6.912111292042832,-7.600773431379465,-8.458928594067087
-6.427043779439485,-5.1898070694854965,-8.692487064210107
-3.3081183825069114,-3.0488368850333485,-1.998051090103223
-5.279637395387605,-5.265394778362637,-5.474602272654498
1.423684118271005,1.0179949525701013,-0.663559363389255
-3.06260179335953,-4.563469145168426,-4.943223524684619
-0.8373330806350875,-0.833844694561847,-0.9417455375465396
-5.951598592068553,-6.584107753678244,-7.141859976740331
-6.576383121556618,-7.593702799842692,-7.451195392666784
-4.237523526119547,-4.156046160510216,-4.812423454968966
-2.6036707363615097,1.9707030753467196,-1.9011352624963653
1.2599813095535917,1.2616633623483826,2.8854479661934276
-2.8971018268498323,-3.343052881662479,-5.064263327746606
-8.904319829877586,-8.896516565641445,-9.150626105186726
0.35993117812400055,0.4439694475461148,-0.9384457673711638
-3.6030216756532183,-2.8415201995985035,-3.5889606046982854
-5.601008752765539,-5.57996029887129,-4.306601712671549
-5.329111762063769,-4.903027681308318,-3.8734522061768186
-6.541988893504885,-6.195111879577475,-4.821696615383675
-7.000369901472545,-7.076837627697541,-7.825026550173797
0.457262659935768,0.4722696108019226,-0.6561776893036512
1.2428157824737691,1.6495022087545055,0.001840588553976335
-0.6789461122441184,0.18553373363985165,-2.255418434771086
-2.7448486229426647,-2.1253792310016406,-4.548320766132532
