"","S-BART","T-BART","X-BART","R-LASSO","R-BOOST","CF","BCF","S-RF","T-RF","X-RF"
"1",-2.94957183400123,-3.23778445153234,-2.90966928064379,-2.71172837868166,-3.91566099511305,-2.89830484281329,-2.49575512881061,-1.94008979950887,-2.92602290505316,-2.579959994929
"2",-1.73631235719931,-1.76728962812672,-1.62781710111557,-1.41543175532466,-5.11220626035759,-1.94831774891719,-0.915484306718717,-0.378649421534805,-1.77360912808869,-1.95733065010458
"3",-4.29088252126352,-4.51420957179397,-4.32602933014518,-4.3657022858177,-7.82228506515841,-3.91417064776358,-4.11622886891392,-3.53854160235513,-4.27456448588713,-3.93969380305707
"4",-3.03828330388875,-3.2920082526739,-3.15395913189262,-3.14331574332908,-8.28976231260007,-3.31839623522746,-2.47352929022249,-2.2916681832141,-3.68825724247661,-3.92411049999646
"5",-2.59172591034598,-3.08915964886264,-2.76899705444272,-2.46697145259083,-5.90557216111128,-3.032376643115,-2.14348404561978,-1.43878584800252,-3.01379472501176,-2.79230517437872
"6",-3.51432583199791,-3.68462553680856,-3.51991306928045,-3.09796726518835,-5.47664730205924,-3.76730477636499,-3.27553154519922,-3.3848737037795,-3.93634480588461,-3.35683409254875
"7",-3.31400100185454,-3.59257538863026,-3.27930202652952,-3.04756628645851,-7.84925229456892,-3.00432388292206,-2.7510315798166,-3.32935782661414,-4.32020371331653,-3.99357378560907
"8",-2.50029399537511,-2.71557600039741,-2.46063978767475,-2.48312351736642,-6.11323827190944,-2.41288773818203,-1.86327509978063,-1.38674180740473,-2.91731192398672,-2.63263177835577
"9",-3.56195510250149,-3.7113479106544,-3.53173910379715,-3.57013975424139,-6.66563553012369,-3.49468554990618,-2.90889225259625,-2.34148523755842,-3.9284625866847,-3.934372523352
"10",-1.20328677007913,-1.35840597607433,-1.12609811885586,-1.27146706888513,-2.00139049898704,-1.62763738583547,-0.829182999565482,0.239375393698136,-1.31113358888109,-1.53473171978104
"11",-3.13456200826456,-3.47182690522927,-3.10193880641942,-2.79727636101404,-7.55598466129224,-2.95677453161432,-2.84996079744446,-2.6477268664583,-3.77677071605923,-3.52614085954888
"12",-3.55273786269826,-3.67545331245267,-3.53050186688883,-3.33826747643525,-5.43192987015423,-3.51066276719663,-3.27058033925008,-3.22524806224962,-4.0678796115995,-4.13154631100416
"13",-1.72872103336395,-1.92724279623437,-1.73254404245362,-1.32214548717952,-6.22243617361888,-1.33992192177321,-0.97411413424862,-0.561373959234316,-1.79057592502859,-1.99311432433835
"14",-2.91824694009122,-3.11717814610551,-2.93213537419032,-2.92365102955842,-6.55711024361174,-3.22566589118155,-2.72212364115068,-1.84188672397648,-3.14942486962919,-3.16991491019403
"15",-1.19085084345179,-1.26467234507827,-1.0219636800677,-0.835839509879723,-5.06162311354115,-1.29951269626189,-0.546192791696748,0.203611696339787,-1.42034858868852,-1.16517126630861
"16",-2.8193424703928,-2.96507749985749,-2.73661239189213,-2.49009948361638,-6.93934166177596,-2.51637035018779,-2.72147294386191,-2.13711153789909,-3.29446763313907,-2.95497594701178
"17",-4.05205611676706,-4.2700570651162,-4.12798261995248,-3.92171037022336,-7.94012614960725,-4.25914183338682,-3.5875067254856,-3.80089517505215,-4.66606814726361,-4.92161283253167
"18",-2.12629469025815,-2.32617355751988,-2.09018939528023,-2.06431795819739,-4.47500215065597,-2.14605866818654,-2.09834197416029,-1.25698168503878,-2.23941744532951,-1.79346230024813
"19",-1.42918629834553,-1.55226497446662,-1.32324750460316,-1.20640686520558,-4.26774083535494,-1.40567732579154,-0.921557063180846,-0.113250350328405,-1.74986427054114,-1.50392046031061
"20",-1.96986253435168,-2.24017257443183,-1.94627530104167,-1.80421015513533,-5.94964022600844,-1.74227870912598,-1.58808625959071,-1.26253789611424,-2.46082372896784,-1.80966199447649
"21",-2.64551663925831,-2.78949128844181,-2.645428843127,-2.37120053742918,-6.93268393088444,-2.8881755667557,-1.91727035979999,-1.9584972763777,-3.37616513300771,-3.63048953741204
"22",-2.60277142650151,-2.88091161360896,-2.71746506285701,-2.40694160804663,-3.14810612263136,-2.40522709762581,-2.08425708810895,-1.68750050251278,-2.86715629815832,-3.35451497687978
"23",-2.91356812099317,-3.353713062673,-2.988785221248,-2.71378149502745,-4.59776179698593,-2.57740154419396,-2.35419690464894,-2.30099645422052,-3.46451124281879,-2.91959596807974
"24",-4.06759447507585,-4.40780829800675,-4.10419374917118,-3.90435831798889,-8.32828563141922,-3.79429518747315,-3.38008909512273,-3.59965698685077,-4.34630841465972,-3.68009117862101
"25",-2.62819468016256,-2.83962736647164,-2.57651577627337,-2.59693683471072,-5.32552075181078,-3.07718481428247,-2.06625831094819,-1.94791947716363,-3.21856158293433,-2.95746881503735
"26",-1.35172626297122,-1.38902983479123,-1.16654892610831,-1.00306729851397,-3.25319306935854,-1.30313262248421,-0.714286963466443,-0.535547487911672,-1.88266524433342,-1.75696821398758
"27",-1.51453987155965,-1.53397775271452,-1.3841398828725,-1.11071769244716,-4.00358352810364,-1.55775228713891,-0.787922729178974,-0.574302825827961,-1.74059293657338,-1.87198800587125
"28",-4.74828062983984,-4.9949470527131,-4.80418311731392,-4.44922874882556,-7.90153016342778,-4.49283054079547,-4.37995360278116,-4.68575341852238,-5.35974786155365,-5.48192025356443
"29",-0.541563596788122,-0.662384664499735,-0.42876294494621,-0.227146606033622,-4.03483420845189,-0.513037780524687,-0.273361277253464,0.665837580272572,-1.02440709441005,-0.876555576970977
"30",-3.36893550717987,-3.44036607641494,-3.26149322045273,-3.02468201887354,-7.13682164463748,-3.31921405952927,-2.88313227036527,-2.164346254857,-2.99913364701524,-3.02041853817917
"31",-1.58832588349335,-1.64597161338698,-1.50687778481107,-1.71224875013565,-3.3583159913092,-1.80725569152552,-0.984124819313309,-0.235061986633062,-1.84864642316796,-2.06602793418199
"32",-3.76701532877081,-4.05842969857084,-3.79382975256865,-3.5003534047111,-6.49454986775954,-3.57172394094072,-3.42229065553722,-3.46117351086613,-4.14153450522443,-4.0674728792813
"33",-0.17289965069213,-0.337178790860029,-0.00966452543655079,0.153049224506861,-3.1955440421303,-0.305068562750597,0.216090592319817,0.690196211422261,-0.431765296341635,-0.445620123018337
"34",-1.96252723086357,-2.00723823632557,-1.81229075448843,-1.69748069355833,-4.90898551928998,-1.94184496999093,-1.64078714313354,-0.482833085996917,-1.9438558454335,-1.65973983631898
"35",-4.56805778846868,-4.79516628805599,-4.61325911541955,-4.27154240794173,-10.3669004132548,-4.34704856175484,-4.06658778238666,-3.95524514131532,-4.86285006243204,-4.21499667393993
"36",-4.2032211467656,-4.29526498416251,-4.13467282549283,-3.98913137417311,-6.99942281708183,-4.29877498607365,-4.16702601599538,-3.66235676184406,-4.45203064447268,-4.63101066448721
"37",-3.51547047065163,-3.60389415457562,-3.34542720713459,-3.30971676243191,-6.05441327090349,-3.89789880735147,-3.07039812467077,-3.05390830623739,-4.23294459475957,-3.73870481716538
"38",-3.85747520057795,-4.08150822052729,-3.91621726689412,-3.5877368767521,-7.74615732653159,-3.88355832767288,-3.33340591646851,-3.26109253110781,-4.35346378416241,-4.56258829836097
"39",-1.59503743483823,-1.75771227817345,-1.50491057516589,-1.35497552668461,-4.05042730310309,-1.09949294114385,-0.86789310000833,-0.435713142791571,-2.43633481079157,-2.24477331347203
"40",-2.56032264167504,-2.60660303980562,-2.47662254442454,-2.4293129025444,-5.71336283977359,-2.57811905217799,-2.28314930558735,-1.42957357960018,-2.46675612652826,-2.35198693039789
"41",-3.57619904633289,-3.76473828251838,-3.56449792853946,-3.28529371861026,-7.36997490560342,-3.75283591230839,-3.31917600647374,-3.00210428871386,-3.87613182105295,-3.93253286364014
"42",-2.03780574269706,-2.06284232695566,-1.93779795631622,-1.78512317240698,-5.93781569500192,-2.18953923471603,-1.65244738386469,-1.12217206864577,-2.45936839877676,-2.75206436220075
"43",-1.93451985256146,-2.13159095037444,-1.78788680951154,-1.71525931465189,-4.35620958977354,-2.08399421738774,-1.68374787473302,-0.851126102710958,-1.98052342130178,-3.75159381576049
"44",-2.47499854359066,-2.55081803553603,-2.33573506993729,-2.30486394664413,-5.21743941125913,-2.44422631953942,-1.93262417172191,-1.12978803736089,-2.4486653072245,-2.15264310404862
"45",-3.96249758811654,-4.0600117434325,-3.97003406705185,-3.80117081780634,-6.04888881543587,-4.15183822820619,-3.64936856704515,-3.29447760388496,-4.08955804009478,-3.8025064028908
"46",-2.57664478264624,-2.66165061244671,-2.55607681258186,-2.40163321286623,-3.63674426899201,-2.47182752536161,-1.99550263576523,-1.57092077370584,-2.80489356028232,-3.00631092240597
"47",-4.34366150323212,-4.62247603696309,-4.4193755772488,-4.45731764530394,-8.11545772034912,-4.65746898697798,-4.08588744309363,-4.05831273436745,-4.9244015455114,-4.34351335033444
"48",-2.44951418422238,-2.68911891463104,-2.43730383715564,-2.33842354945627,-6.71522858925513,-2.77675789114827,-1.8918496039429,-1.27401553923385,-2.84381984264298,-2.73190801511899
"49",-2.19366297568347,-2.3246256707457,-2.13696219756057,-1.9625317833006,-4.20583630654413,-1.99964289457451,-1.41765661241348,-1.06976624638204,-2.55051631295288,-2.67353747958176
"50",-1.73537782839008,-1.99908893642001,-1.67378276731535,-1.45354488645025,-4.38921018531735,-1.89867736713108,-1.21010740746633,-0.599389306934649,-2.23070191541048,-1.8482210446592
"51",-0.772965285612881,-0.85722785120613,-0.735590547093666,-0.675912756113674,-3.50673775511388,-0.40233307597761,0.0733578341492195,0.52473612542326,-1.07910337719183,-1.10144955348752
"52",-1.86339185889837,-2.07037794708539,-1.82206951919698,-1.46255637741914,-4.64413353710039,-1.59740151632461,-1.56125904314523,-1.32312261605382,-2.65360619971154,-2.50905261410273
"53",-1.02505390982962,-1.15823530999104,-0.955855005406542,-0.87260033511531,-5.73445855634495,-1.23852089713349,-0.293821659576638,0.589939163678618,-1.28661851672687,-1.27662612949068
"54",-1.08708716662115,-1.18628290590473,-1.02220702752446,-1.03055656453188,-2.76354852946092,-1.08408885483629,-0.361898112306698,0.130021278609354,-1.46084599435938,-0.966418461696143
"55",-2.53287327604317,-2.68562391798718,-2.52023887968474,-2.16809836462161,-6.62946642264306,-2.77185566272458,-2.05454282287936,-2.07639119407965,-2.87027669483504,-3.0069789359486
"56",-4.0466880517474,-4.16768740232566,-4.00354682670332,-3.99022388594342,-6.97075260489226,-4.00327036876865,-3.67293807759628,-3.39084960759978,-4.50596388470282,-4.65083919884108
"57",-2.66489662167817,-2.68219631090819,-2.48271546059519,-2.37664584132463,-5.40927671151661,-2.98316425859821,-2.29924267966582,-1.59777380401614,-2.73151246995784,-2.70818637609815
"58",-2.45091334729442,-2.71974901746306,-2.47576239025642,-2.06266280431968,-6.30616450916368,-2.34281911119566,-2.05714978661789,-1.6007269798683,-2.6095858237315,-2.44608733763829
"59",-2.79828970995521,-3.04500587896839,-2.81784111256973,-2.54522185898248,-8.09799899126163,-2.88025530604749,-2.42211726601711,-1.53907256362369,-2.99410601619053,-3.16151602369843
"60",-3.15008826294654,-3.34387363653004,-3.14818260746008,-2.67958892618641,-3.90745595636078,-2.85092014081496,-2.44787046421309,-2.02475701777295,-3.134368403131,-2.9813987482638
"61",-1.64622519435501,-2.06236005021103,-1.66173404644316,-1.55597028420392,-5.79172930553251,-1.41845980901843,-1.47238353610931,-0.923491867246401,-1.98557896078179,-1.68688164475398
"62",-0.666310821919488,-0.729802040950965,-0.517476373557265,-0.164788985114401,-2.54098994742223,-0.545547732013004,-0.0509818925057671,0.057690167944809,-1.40671321712161,-1.15513366587366
"63",-4.15341410284411,-4.32737135227819,-4.17604288023921,-4.23602079253661,-8.02144760232547,-4.15226069706922,-3.95873645022952,-3.64365934854089,-4.50711156756438,-4.45953603120844
"64",-2.37396421246707,-2.45139478288058,-2.19721671485799,-2.02238913230674,-5.3987248566508,-2.5201283717556,-1.90016759555532,-1.31070311400979,-2.73222633892504,-2.52828322230182
"65",-0.970712739430246,-1.09796613016567,-0.888169666742445,-0.754648851088989,-4.23871204523865,-0.960949700422844,-0.540267834382328,0.0891163980916075,-1.31799190274193,-1.16798004593228
"66",-1.46096297805801,-1.49207840192923,-1.31316064691416,-1.31753061984441,-5.2656528773898,-1.45640746429747,-0.886491647163262,0.121367723808793,-1.2015265732327,-1.37156484140349
"67",-2.0368493427044,-2.10488994900183,-1.91279465627262,-2.03446993502454,-6.94042318635388,-1.87852055384537,-1.4920465819023,-0.598262219902091,-1.85213189261927,-1.47244033386731
"68",-0.734829374851477,-0.906654452472827,-0.724584665651764,-0.606216331212605,-3.85874328499569,-0.684639515318131,-0.14456377484534,0.612318114081132,-0.878370594052316,-1.29011572199869
"69",-3.05331292390312,-3.09271844052978,-2.84896310288133,-2.48060651914993,-6.1417544437623,-3.02046964163158,-2.66035238923076,-2.4714493427361,-3.10009828198301,-3.08999941788888
"70",-2.80530846013015,-3.00823705193995,-2.71599127842349,-2.59598826489345,-8.94278338292494,-3.18437527973476,-2.49515107988023,-1.89672553021166,-2.78166724621109,-2.92842908692547
"71",-2.37061788264083,-2.65020972410958,-2.33845521782638,-2.12988394725102,-5.72039582220651,-2.18345225047657,-1.91850837463155,-1.68653083714675,-2.88461769698331,-3.15109579468746
"72",-3.04848741235986,-3.10074383850656,-3.0057978171782,-2.75443950796289,-6.63695389044472,-2.95780179395166,-2.78476364813097,-2.28317544510168,-2.93736506133204,-3.31144788957465
"73",-1.70643223979862,-1.79380846932756,-1.61033365033696,-1.67131821203935,-5.82637119270346,-1.65639736031475,-1.14281203221471,-0.489068815571876,-1.8412515081907,-1.73186925755701
"74",-3.958032821152,-4.24282755322502,-4.02848320473049,-3.80427897590792,-7.21388725919599,-4.35350532365121,-3.69259929085238,-3.51736993916594,-4.4321478409134,-3.66090180698239
"75",-2.17685985424188,-2.2721991444948,-2.06178425120827,-1.86531234222074,-5.08524501403508,-2.2539996031935,-1.64113259447186,-1.3945567991389,-2.40120035435612,-2.94274922210685
"76",0.38940132544609,0.252494954974704,0.494787757850807,0.494953712272432,-3.32767788423738,0.331618217223477,0.932136913455811,1.9886721657221,0.364133525765488,0.642502404183166
