"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.516269747338661,0.513982250971058,0.263696595239185,0.260424565428121,0.00192166205620863,0.00444990179007568,0.520487843640642,0.520705980112325,0.272861272428987,0.272459570032056,0.00215897660474311,0.00508967036634055
"T-BART",0.584832713906488,0.609884094471423,0.355088092831399,0.390210699481881,0.00191199312683417,0.00448120678657353,0.606522979525728,0.657585573360515,0.388790684811182,0.436014218081616,0.00206344945774546,0.00480392652746459
"X-BART",0.602478334654169,0.618695597374016,0.384714985677122,0.38731366939587,0.0019233596537848,0.00449480072020804,0.592378100919994,0.61802621101475,0.37820151140674,0.401942429838657,0.00217897695483212,0.00491043156773616
"R-LASSO",0.581694789116289,0.579543573265658,0.402235808581865,0.397921203883187,0.00193972420323732,0.0045108762671053,0.582227833578194,0.583775896201597,0.411110269215087,0.414735821572002,0.00217308507526291,0.00497740260866329
"R-BOOST",0.793076934801184,0.882381083649783,1.26162882550303,1.26798741097908,0.00195662639264508,0.00462174780219091,0.77159648113991,0.820950658098123,1.24990514772196,1.29074872091983,0.00356777279829209,0.00460716646899475
"CF",0.594795219094203,0.592277983088192,0.440905378809779,0.441048442318448,0.00194946624312068,0.0044982716386848,0.591545327970398,0.587480435859747,0.445463944946038,0.446813420220847,0.00214203816124866,0.00489734170216101
"BCF",0.487435877423078,0.471024019473169,0.337135897717359,0.336720959462349,0.00190447187900172,0.00440810319858772,0.504094132045103,0.50219949063886,0.360351048384985,0.37128291623819,0.00209032617682163,0.00517809756455578
"S-RF",0.264488745391271,0.292929283876102,0.106503507498591,0.148624980706345,0.00189621092592958,0.00426771111481637,0.308192781540162,0.342501793248467,0.153565691923761,0.168361120588567,0.00187022178772492,0.00528428088652548
"T-RF",0.599887515892336,0.730141824843265,0.556367212111442,0.618746173687057,0.00158547734103552,0.00437839755412527,0.659483048278773,0.8025024610837,0.532914591508459,0.697665438399576,0.00166846647130196,0.00505155199064922
"X-RF",0.624756151090123,0.682976334061667,0.404264896903709,0.441883516408085,0.00187766047086986,0.00443393362789075,0.628872235451485,0.6409203784689,0.40479617751697,0.44763518734085,0.00208372843797698,0.00476100598756158
