"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",-2.29723681434422,-2.30504655967344,3.01604223548104,3.02611371739417,0.157239544170161,0.156595860236948,-2.50101919233173,-2.49255416889751,3.10386721765016,3.10173954943482,0.20386480269895,0.205369558319599
"T-BART",-2.25485199532113,-2.31129169828551,5.90906198193541,5.90926259353215,0.15582822774751,0.156502799142001,-2.66710409809616,-2.65029296800465,6.0145575873353,5.96722085913802,0.200916190110387,0.205437193631197
"X-BART",-2.49607337365209,-2.52911410710902,5.40439664132065,5.40600982244151,0.156486077857944,0.156592474700467,-2.45244365360555,-2.44742669442041,5.3775734701743,5.34739028521773,0.201639764822602,0.20595830348789
"R-LASSO",-2.44045977760668,-2.45655947524109,3.2861158107542,3.31176448821557,0.157249881379679,0.156582089139564,-2.29613722181576,-2.28928264502722,3.18839849790414,3.17818234833168,0.204323018820814,0.205730291551727
"R-BOOST",-5.89134123549701,-5.90030117051174,10.1422553037504,10.1221094461702,0.154772193165772,0.157295399780346,-5.69689536648197,-5.84886984314205,10.1396202419844,10.1374477121524,0.194579694805805,0.208092623099339
"CF",-2.38010420954415,-2.37947721893819,2.6536867423013,2.64974978702123,0.157534120866593,0.156662835985178,-2.5102745108201,-2.50901981705491,2.77710876815892,2.77398116828012,0.204604692991584,0.205412825905315
"BCF",-1.95172607054566,-1.95805223394902,3.18330159576572,3.18903538253905,0.157094589262243,0.156645913920163,-2.03613525389376,-2.02704924903007,3.20776927169508,3.19878787240842,0.203446549019711,0.205651518826674
"S-RF",-1.30836164729013,-1.20637379890279,14.0540783644039,12.519568848495,0.137151157911577,0.157966435841467,-1.60167146423884,-1.71633474480316,14.8395172437398,12.7413258710213,0.157395109673089,0.209360659927804
"T-RF",-2.54568215317986,-2.42773796973888,17.3652742282763,15.3496155808737,0.132315366237921,0.158805860325101,-2.80450711100775,-2.98066468212532,18.1100228765847,15.5964409079805,0.148785120986369,0.211823730881489
"X-RF",-2.73772731615651,-2.76278320362971,9.39345935663325,9.20781768990013,0.1524179469803,0.15668614289263,-2.73710097006817,-2.80330539358411,9.69571198902548,9.32403799588671,0.188360862484921,0.20738512944886
