"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.510607514466481,0.514532058264105,0.406850496558413,0.407061597827327,0.00159026315010046,0.00371475843599495,0.517023299371466,0.52067442231971,0.41269798200108,0.415297505623054,0.00218936469596263,0.005205094626853
"T-BART",0.574413902650889,0.620075204871413,0.379056364112488,0.430040428787776,0.00158440714247372,0.00371622287425679,0.612771178687291,0.64218909044466,0.448079392290979,0.492068889213994,0.00229545357404114,0.00548518277270892
"X-BART",0.590541244718815,0.638465366419868,0.514981969010814,0.541198709170775,0.00157357401931211,0.00371739113434054,0.594930684422528,0.660086593508083,0.411226674711982,0.481372021189046,0.00226463742593956,0.00550010783809154
"R-LASSO",0.553915882041207,0.577147224407893,0.788400556974084,0.785815982892158,0.00162545862712829,0.00372184322443585,0.550204364441377,0.568755290113918,0.710264366942436,0.746017118861861,0.00223653954715221,0.00554779311595401
"R-BOOST",0.762492126051118,0.815777837045748,0.864660921935184,0.8586359411887,0.00177325073667207,0.00404058904950905,0.79270324615317,0.855482426721715,0.831173390636164,0.840599075090817,0.00273530203639247,0.00550634745246532
"CF",0.584815384634569,0.585682338978121,0.528391902121945,0.537343906891227,0.0015935643425245,0.00368498381689295,0.582276659255184,0.583188951410854,0.518976198647271,0.530325797535709,0.00221311273674529,0.00532752076978398
"BCF",0.290345904568964,0.305932547772034,0.308721862945684,0.318509834903511,0.00160743152357374,0.00376113239537116,0.295333977824517,0.317720660345587,0.27683069266426,0.300424435245292,0.00216261440795382,0.00507201167027392
"S-RF",0.202284579439283,0.228935211882498,0.164032854527858,0.175067713039268,0.00152073222786991,0.00375463866994597,0.264730116214742,0.249777761404958,0.200242051123667,0.206405069331988,0.00217265822181162,0.00501484169548865
"T-RF",0.633090810012333,0.74855293814557,0.406778140608595,0.552648018976943,0.00142706560013914,0.00372527019640388,0.711424956258391,0.728118620454166,0.353342812453068,0.487574653281963,0.00201465192202564,0.00575254267632381
"X-RF",0.641916550458088,0.708227859207598,0.383712119505015,0.409200414399539,0.00162292698968019,0.00386194997492055,0.670365799582228,0.74509696869125,0.372534279199204,0.422531103851992,0.00220214334059194,0.0053797942087657
