"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",3.03983008036165,3.03596282822091,3.2716745633247,3.27120471845199,0.205755660907483,0.204400764962136,3.30938854045632,3.29642439894827,3.48647822399418,3.47549136925585,0.195523926382073,0.190336948592167
"T-BART",1.94017673355559,1.9537800451875,6.67418642869632,6.64536389149832,0.203480309635805,0.204763477935513,4.15360352164496,4.06364176110882,6.97860486721348,6.93828892038926,0.191164126948288,0.192182840844518
"X-BART",2.94845070138775,2.95460998348232,5.47015175699416,5.48919401141889,0.204630786181347,0.204823418407643,3.82103670344451,3.76671070159329,5.87951146198675,5.92759196160333,0.193253910159208,0.192726376089008
"R-LASSO",3.49679471860652,3.50128962851951,3.63337148477885,3.63513454157918,0.205890351252158,0.204340641429034,3.53913915349506,3.53259371359984,3.6508518738701,3.64495164186099,0.195943741957913,0.190270941283836
"R-BOOST",-3.25786361574113,-3.05040281919143,9.07375097518782,8.99690715539118,0.203155675726142,0.206369521741989,-1.25357500993214,-1.49846844828576,8.54799635050544,8.69594682915608,0.190356280257108,0.197257940782537
"CF",3.23622686164056,3.23804030702037,3.32357569182216,3.31230182980008,0.20628700411514,0.204331097144834,3.2500537858407,3.24185871473529,3.33515880739363,3.31066801514273,0.196950578274171,0.190198612769892
"BCF",1.46520622283501,1.4616766999217,1.88911467431934,1.89051015983069,0.205728100625367,0.204438047539098,1.65871905027165,1.63937797864062,2.02064297707302,2.02331945215267,0.195382141354751,0.190511741524345
"S-RF",0.0178199084041196,0.0506586578909547,6.89467064594681,6.06428811050543,0.193777333543095,0.203656282675727,1.60170707598665,1.50226698734369,6.78106456470651,5.86998177387998,0.176499600896144,0.191374148968474
"T-RF",-0.348054087739251,-0.197131408430395,20.852159782282,18.0492317931779,0.170849005680451,0.204573769785973,4.35606562468102,4.19671220030224,18.795048940447,16.4801951485948,0.146284399151229,0.199162299041662
"X-RF",1.47731767547097,1.42689699521663,8.91152200659995,8.74599299245142,0.199786001997379,0.204980283761374,2.8852331039285,2.92285718913526,9.23155820730749,9.04782083013051,0.185074852992257,0.1952853511448
