"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.0129533122161982,0.012717824006289,0.00711799327805704,0.00791345065547073,6.56454079889817e-06,1.61565414759354e-05,0.0130061082534335,0.0135820576741014,0.00682369239956882,0.00804190832990109,1.12220884172081e-05,2.70439796573693e-05
"T-BART",0.0136114124012556,0.0147015237237019,0.00815881672096003,0.0106031264071609,6.41765583638911e-06,1.6082039407801e-05,0.0125508850469719,0.0136210723891644,0.00714473472906921,0.0112314955019729,1.10643668884674e-05,2.78847584629199e-05
"X-BART",0.0121935461200412,0.0118281292294647,0.0061036565365967,0.00665658941990202,6.49106320255939e-06,1.59781983484335e-05,0.0123303466844654,0.0130958028683191,0.00615731095063737,0.00739799133336739,1.12732967535215e-05,2.72032498428598e-05
"R-LASSO",0.011410597652808,0.011232506295437,0.00589630229154636,0.00652359555467973,6.86431934585573e-06,1.5801679993605e-05,0.0117165006378075,0.0120079198627427,0.0078527342624386,0.00807961551454399,1.14476091605451e-05,2.65580150897458e-05
"R-BOOST",0.0225072219265826,0.0242424019391118,0.0123792625070284,0.0131353401814192,8.19882708924954e-06,1.73953497183799e-05,0.0219704288962444,0.0285263434283779,0.0144406592762366,0.0171426306267463,1.14053281987784e-05,2.45595716827224e-05
"CF",0.0147657328870434,0.0147487965987716,0.00825385055644308,0.00886244849410377,6.47426260848083e-06,1.72618773156876e-05,0.0137989720501671,0.0161869462281544,0.0092306685793042,0.00916930502556534,1.03577121624357e-05,2.66604091134369e-05
"BCF",0.0121399378619753,0.0117233870102752,0.00703957734183415,0.00782665672972426,6.54659714133098e-06,1.59609370671892e-05,0.0124611934580265,0.0125258780475139,0.00697755026484281,0.00836969817724832,1.15123288490193e-05,2.7585432261576e-05
"S-RF",0.0133807914358314,0.0141671363202503,0.00843436885599156,0.00888182475649254,6.24214391340569e-06,1.63974774538255e-05,0.0134703606237415,0.0156672592985883,0.00998251165699724,0.00949452400615642,1.03846177897474e-05,2.8468856754869e-05
"T-RF",0.0133923889336284,0.0142577534154589,0.00873350356977137,0.00962194781642207,6.24111543292684e-06,1.63393984399462e-05,0.0133623611611942,0.0160940274765124,0.0107703895273226,0.0101662251682224,1.04973234166221e-05,2.84413747314463e-05
"X-RF",0.0125181365702385,0.0121312349669716,0.00604874349655357,0.0068791960415359,6.42427316509826e-06,1.65520335375559e-05,0.0124185736077972,0.0132364702803184,0.00795154195870198,0.00762487251763092,1.088163798216e-05,2.65729704945043e-05
