"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.00155565040711023,0.00201978437866284,0.0027599282309185,0.00383209335523815,5.95816079000372e-06,1.39399039568392e-05,0.00170589923653647,0.00246637439960235,0.00386465789789604,0.00432601124982657,1.05639593291797e-05,2.42828659192268e-05
"T-BART",0.00346267080930682,0.00476072918244237,0.00527315751369767,0.00808173265172505,5.96262668133133e-06,1.40334857446345e-05,0.00351497685049518,0.00577690171882869,0.00893252797218349,0.00964056584768755,1.04018470619418e-05,2.42437630091051e-05
"X-BART",0.00143046833973504,0.00246424374799359,0.00313403218393806,0.00566180943584838,5.96003625858348e-06,1.39306741215279e-05,0.00218109221505767,0.00264724421264091,0.00490468904452923,0.00496442935189856,1.03344525622937e-05,2.41962159131196e-05
"R-LASSO",0.00172201458220027,0.00261386064855128,0.000874743707537763,0.00155097012683254,6.03587132553865e-06,1.39692553726469e-05,0.0019247417809369,0.00252980172709914,0.00148862117137132,0.00261365153892061,1.06165281164781e-05,2.37426803952337e-05
"R-BOOST",0.0150765294197432,0.0187244330284734,0.0108294913633686,0.011188034929412,6.9330669309298e-06,1.5471944575767e-05,0.0164754493860047,0.0192412862064181,0.0118105177295742,0.0122912483875473,9.06095050905496e-06,2.24596941468222e-05
"CF",0.0068039570478884,0.00896459785886032,0.00371833742657194,0.0051821177188113,5.85383551537842e-06,1.50106957085956e-05,0.00784086852082207,0.00764731961757156,0.00555905799472572,0.00564289473210986,9.5790407447539e-06,2.37051897717897e-05
"BCF",0.0020724646146392,0.00288918730078984,0.00561719617860641,0.00798326167427513,5.93754618018575e-06,1.39236472585773e-05,0.00213106163783987,0.00333579570231481,0.00719813105978772,0.0107190610876826,1.06280729995523e-05,2.41856539513547e-05
"S-RF",0.00536063554714074,0.0067127685683994,0.0048458681509838,0.00598857484379957,5.65494204538502e-06,1.44359376141591e-05,0.00795211232539855,0.00817780183303911,0.00630646638464384,0.00722416886947632,9.75255239270311e-06,2.54366280303665e-05
"T-RF",0.00528065332321074,0.00695360093008832,0.00550407089667163,0.00688072174541192,5.66825751045926e-06,1.4415956221421e-05,0.00770900214375013,0.00826673409727035,0.00679418788526823,0.007579357412161,9.75188760851642e-06,2.564686200721e-05
"X-RF",0.0022332085969803,0.00449101052711861,0.00203071571737028,0.00356495972051912,5.84102617377787e-06,1.45473292017572e-05,0.00393861763527926,0.00398287437676999,0.00388263411735501,0.00387673857884848,9.90417556411806e-06,2.39205882219056e-05
