"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.011891415019866,0.0135298629234728,0.191862328277258,0.195453165609727,0.000957414862640151,0.000963321397652786,0.00801193197983406,0.0102544716714464,0.203770617002247,0.202410486001301,0.00110022925753448,0.00109938145724129
"T-BART",0.0119764211232933,0.0131082569217342,0.340273732869418,0.34891507708577,0.000946203691651394,0.000957085346600583,0.0114645610192413,0.0118917548768702,0.345157287684432,0.352648154749727,0.00110827285334297,0.00112317539464131
"X-BART",0.0227962951496885,0.0252056149829632,0.188870107209665,0.19131096210136,0.000952145895299747,0.000958445618277072,0.0176586711654174,0.0174933140933586,0.19459007335677,0.193450301654557,0.00110748587877237,0.00110802706935939
"R-LASSO",-0.00612950645902638,-0.00472485490751769,0.137826885488819,0.137923831515892,0.000957575623589214,0.000962456861028117,-0.0233572178449579,-0.0231510705109537,0.146943973942251,0.145294295944357,0.00110177587014775,0.0010980919673563
"R-BOOST",0.0148431380627354,0.0130154238023047,0.503049380644179,0.504498324535588,0.00104886898282668,0.00105426285570922,-0.184345430185986,-0.182073233231078,0.573399575325047,0.572291228380072,0.000940019114330235,0.000935322588209064
"CF",0.0139513270941065,0.0120616022670487,0.256752008652465,0.254192018118272,0.000986412803743434,0.000990741151929637,-0.0604385467120734,-0.0575005606521,0.299568365710293,0.3001916399155,0.00104959648377702,0.00104403894523933
"BCF",0.0170913695983118,0.0190821342728711,0.192639977466452,0.19409009246323,0.000949657574835996,0.000956096566654097,0.0134797633750778,0.0140190189873706,0.191464770423214,0.192567478645403,0.0011138000198991,0.00111365843821781
"S-RF",0.0119733445844848,0.00719561190890865,0.415789267324768,0.39225897770379,0.000934250351824273,0.000955800522063829,0.00634588919975994,0.00960049747453115,0.445946916374506,0.410110211315946,0.00109308907760937,0.0011288438877637
"T-RF",0.00569609606722456,-2.76913301609745e-05,0.43077806484339,0.408709522079987,0.000933861780832353,0.000954302204204513,-0.00322045975692209,0.00217151166733651,0.454292921859851,0.427068444297995,0.00109806169903473,0.00113283234257826
"X-RF",-0.000394885850684129,-0.00198179404278287,0.194075076100783,0.199786366450683,0.000963898516604399,0.000970484939503341,-0.0352084628624362,-0.0335572299570356,0.240929970304507,0.229616809472033,0.00108315112429551,0.00108313899355764
