"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.129298496060952,0.120761847559572,0.816512428695589,0.815019414458392,0.00348326258560413,0.00352255259824425,0.0786553812064798,0.0891003093918823,0.817148375205061,0.818554492919354,0.00467495054461577,0.00474045929695709
"T-BART",0.0421114947776564,0.0303640534215389,1.65580114060371,1.6678663768192,0.00335512712435255,0.00350972653948896,0.0620579403848304,0.0766901799049499,1.73366178695778,1.71807770587402,0.00451717697374198,0.00491997332721026
"X-BART",0.0959182348933915,0.0898510213515255,1.35372981637733,1.35522467466197,0.00342543800320174,0.00350423335746947,0.0983614265601448,0.127742679222171,1.35889969921431,1.3440764894172,0.00460035768141583,0.00485837632457477
"R-LASSO",0.0854119923429857,0.0932523478801459,0.770910129897754,0.770279891923249,0.00352695354560228,0.00355286344353273,-0.0375940486866239,-0.0253562630766265,0.783265165546463,0.790831157630421,0.00467245857217632,0.00468168362176096
"R-BOOST",-0.0558390856786733,-0.0593842841882618,0.763500317122427,0.765211174300185,0.00357131177721766,0.00359873346458711,-0.258604276285176,-0.248832171059367,0.818101429489097,0.821910926857198,0.00458658219040069,0.0046104354985757
"CF",0.123363248087032,0.121798174511246,0.734358373424395,0.734086462616918,0.00357705933309015,0.00359438610089258,-0.0839927350205693,-0.0765912254395841,0.754564185613787,0.766094165126327,0.0046320648562493,0.00460101776088178
"BCF",0.200479932049043,0.194819295760808,1.06182254675785,1.06346201884792,0.00346644132558176,0.00351701132922764,0.138723801563169,0.155803196998993,1.0612586342801,1.05277420474356,0.00462812806910848,0.00478423040696229
"S-RF",0.0378689961174092,0.0342103698565896,2.31391098946926,2.09731555832952,0.00303740272655414,0.00349018612536091,0.138638381384411,0.14514490886423,2.46594920567129,2.16245092967093,0.0039110878556421,0.0050571349942206
"T-RF",-0.0351025471853682,-0.0392726488069115,2.36641872325765,2.14629653377007,0.00302345928046246,0.00348503912130756,0.0647027443006934,0.0689134175816183,2.52179348417234,2.21251626023304,0.00389570530814115,0.00508064170503279
"X-RF",0.0887889616565222,0.0869825030534591,1.28062983156061,1.25978057330614,0.00343636142540082,0.00354057783675885,0.0189488703696582,0.0510460586338218,1.33622450274329,1.28957858096354,0.00445686668243084,0.00478720959571466
