"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.0562733880315191,0.0572179546259429,0.0350209046308938,0.0360858218663683,1.78123733069078e-05,2.74361725827083e-05,0.0573902803575275,0.0566884322279574,0.036297397252241,0.035002334633789,2.43707153602987e-05,4.46331580235517e-05
"T-BART",0.0567496617758551,0.0587803926026643,0.0307069794218762,0.0342464127266356,1.6652107833541e-05,2.82842992260684e-05,0.0589884377140866,0.0597973543871322,0.036201362170421,0.036155290591071,2.08282544426768e-05,4.7880493353103e-05
"X-BART",0.0579251773089644,0.0591774856824,0.0329015545164719,0.0343951962999749,1.6891291806322e-05,2.78600294895466e-05,0.0582071274603378,0.0592287147145065,0.0343517124708415,0.0335964500617233,2.16357211556002e-05,4.67047032540398e-05
"R-LASSO",0.0549885440381156,0.0558089674819554,0.0449352394974966,0.0460448292580649,1.8238931123489e-05,2.68136448102373e-05,0.0546796575618983,0.0546380658534611,0.0444777495117643,0.0444346893333032,2.79827581329659e-05,4.43534846238895e-05
"R-BOOST",0.0646414453135608,0.0646741880887433,0.0511649888759374,0.0506255730098513,2.01265826989832e-05,2.77568177431022e-05,0.0648404883806892,0.065065600942269,0.0507517352895702,0.0511435342093233,3.06390515416576e-05,4.28762062638297e-05
"CF",0.0577390329175945,0.0578042812277559,0.0466564772215004,0.0462420989890048,1.95144214002246e-05,2.75233208045286e-05,0.0573099160952571,0.0581815909711746,0.0467595807211153,0.047450261858831,2.97895218911283e-05,4.18013732167834e-05
"BCF",0.0300027557942726,0.0310645114436544,0.0330359028903812,0.0340324954673962,1.73122254998942e-05,2.77445680357075e-05,0.0322024176622022,0.0314391100631321,0.0338727801503653,0.033075048488236,2.25906356527568e-05,4.50576284806589e-05
"S-RF",0.0204228545995585,0.0210730551062713,0.0168191160862798,0.0185324043420023,1.83965311543275e-05,2.75549136538411e-05,0.0221210335286,0.0233694448307935,0.0177464463373266,0.0181328243509733,2.64560550516786e-05,4.2447003470035e-05
"T-RF",0.0561543163041226,0.0591156003379847,0.0290385184934185,0.0351248743201853,1.5732150113595e-05,2.84467046923948e-05,0.0579138895124087,0.0642008385627321,0.0308233624705889,0.0363599215940336,2.04047321007042e-05,4.81618853826058e-05
"X-RF",0.0605295251943462,0.0608110640768824,0.0292907548231783,0.030716702261136,1.75625801222851e-05,2.79274592948561e-05,0.0606300430246746,0.0636671736840516,0.0310879051109009,0.0327388446772462,2.41670871717282e-05,4.47881610820972e-05
