"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.00122388034168092,0.00146097019637046,0.0043604718553045,0.00531205279865056,2.75769343078263e-06,6.53264021526604e-06,0.00105561694819965,0.0014746474052432,0.00391818825259387,0.00496256632060465,4.67444660566627e-06,1.0850877736601e-05
"T-BART",0.00368857238862033,0.00446013860834735,0.00611751324844932,0.00769107674729405,2.77288035631901e-06,6.53641985815628e-06,0.00153858705486105,0.00482629658842676,0.00683358512270648,0.00841536913507133,4.6193007730455e-06,1.113170332092e-05
"X-BART",0.00168684936214813,0.00175854161800415,0.00239362604789057,0.00263341655525705,2.76127375106551e-06,6.51448770753201e-06,0.00157932771146842,0.00212290864854773,0.0028404871236689,0.0038217318991675,4.67998455159783e-06,1.09771317536131e-05
"R-LASSO",0.00066483458103015,0.000665651555283472,0.000570672746060996,0.000566173713951965,2.75523372760036e-06,6.51295285661339e-06,0.000679195907758253,0.00067328895150363,0.000570037528775479,0.000574894378285936,4.68951735879226e-06,1.08825107017012e-05
"R-BOOST",0.0185479927672463,0.0185479927672463,0.0185479927672463,0.0185479927672463,2.76923089939293e-06,6.45329752762696e-06,0.0185479927672463,0.0185479927672463,0.0185479927672463,0.0185479927672463,4.72948331780803e-06,1.09393509460245e-05
"CF",0.003810853595552,0.00382647703722159,0.00353344787248381,0.00353550231604697,2.67442328491645e-06,6.60021873202316e-06,0.00400218810873563,0.00410080769973244,0.00368394886571396,0.00384519074868173,4.47401604857236e-06,1.11523945865137e-05
"BCF",0.000349245632518346,0.000349530663682851,0.00104613460464385,0.00103798148104638,2.76172466798262e-06,6.51371248074024e-06,0.000323104581731295,0.000345825969443457,0.00105565353418274,0.000976397198288822,4.68118842731252e-06,1.08655289226846e-05
"S-RF",0.000625533257131054,0.000711026749429016,0.000518431912557013,0.00058125317780256,2.73273899588254e-06,6.54122828258008e-06,0.000694058948405266,0.00084849928915917,0.000653254996911769,0.000762555525861995,4.62641702046762e-06,1.09527495374723e-05
"T-RF",0.00575147474255215,0.00605909039287994,0.00536764497343433,0.00433404685082101,2.4622939266374e-06,6.87445534801641e-06,0.00453516159085743,0.00805947270298038,0.00429424113631036,0.00755481912278452,4.20850094720596e-06,1.24762960759712e-05
"X-RF",0.00211882918936585,0.00231964245781606,0.00229108826318551,0.0025179795301777,2.7151506523576e-06,6.52946507842325e-06,0.00230867851269868,0.00270919116877087,0.00255676866478546,0.00294838871211365,4.55303914491214e-06,1.10666052986766e-05
