"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.0365674984452914,0.0363083764213413,0.383775367651691,0.386830861446042,0.00136340810735143,0.00137049808144001,0.0301106539506944,0.0240136016545882,0.392732092881329,0.388122981154767,0.00142017112105412,0.00141906500166876
"T-BART",0.0467236669296762,0.0502451710380698,0.961940130621224,0.958918815187762,0.0013257255818489,0.00137828336797029,0.0246686093807371,0.0119752273192415,0.985522119405287,0.963422738768939,0.00135750946352124,0.00145422686070706
"X-BART",0.0669639796054351,0.0689264347251502,0.726473011191584,0.729963648375148,0.0013511534507499,0.00137548636113561,0.0702533120435265,0.0620084384320343,0.738234291453418,0.733140052394328,0.00138869198313153,0.00143434553651914
"R-LASSO",0.0205300067708752,0.0201561827634135,0.283392291969189,0.28525742086582,0.00136762929260207,0.00136845420571133,0.0179526457576773,0.0156669533176687,0.281628669208762,0.281731518195049,0.00143263652681274,0.00141679217959155
"R-BOOST",-0.210319135085585,-0.21022405164733,0.301366135552883,0.300950246164417,0.00137061562837637,0.00137076289336269,-0.207969400597713,-0.206307400630442,0.301118428449561,0.301277656646083,0.00143428552007159,0.00141338561499408
"CF",-0.0522003629838542,-0.0530661448343338,0.265743651976046,0.262763637815946,0.00137127875854242,0.00137068005650125,-0.0549028683158701,-0.0591902956940773,0.26678835845129,0.26591587516496,0.00143875764350832,0.00141379778473575
"BCF",0.00724696149925073,0.00795960014201611,0.22377905373997,0.225743945629236,0.00136971192597736,0.00137090513278316,0.00165314475540396,-0.00202349549004356,0.22691309071673,0.222401192234971,0.00142715902455238,0.00140999769724508
"S-RF",0.0107715477066769,0.0108470013075772,0.378058186670321,0.344315859919544,0.00132846962202829,0.0013708874957752,0.00290150792724946,-0.00439627542187896,0.41573182389984,0.359273824232309,0.00135227038316533,0.00141272658515109
"T-RF",0.029888919268569,0.0234729665749907,1.35737077663713,1.20203091024067,0.00120597397738881,0.00137659730315891,-0.00964256743346099,-0.0313824978522207,1.35669463390005,1.21506645626648,0.00120624621855704,0.00148986591850312
"X-RF",0.00317916600344224,0.0012397803425832,0.666834592025732,0.66056308141844,0.0013471409137622,0.00137795671192289,-0.00732023897571123,-0.0162010034501727,0.689755544019108,0.669370141259827,0.00136404290933902,0.0014235913955886
