"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.0254767736127357,0.028204769263087,0.665121943837865,0.663188012108579,0.00402690764728509,0.00409369671386981,0.0239326641819987,0.00556478192292239,0.669702143984261,0.661191149287236,0.00419504222734735,0.00428162845417003
"T-BART",0.0364599573715333,0.0587472040925054,1.69882299641858,1.68461644386362,0.00391065858007986,0.00412201548245931,0.0173132994110403,-0.0135732123750698,1.7352694191176,1.70692839403508,0.0039668164741471,0.00436863406263247
"X-BART",0.0673212593234569,0.0723938442800227,1.35722646995327,1.35103694033602,0.00398565723729888,0.00410866702230099,0.0668854859568856,0.0401889553995184,1.37356544006492,1.35399106661547,0.00405837694938059,0.00432577285654071
"R-LASSO",0.00915040959403421,0.0107605436312157,0.506594142769288,0.501897546622087,0.00404358408831934,0.0040947600843784,0.00730390555990683,-0.0182382439135979,0.504876951976902,0.507972575520372,0.00422733015163857,0.00427197824186804
"R-BOOST",-0.282537824620055,-0.291001189882956,0.527156286789772,0.527397705140524,0.00404284223153813,0.0040970746407777,-0.283474839351975,-0.282893432304565,0.535742046288555,0.532038257095202,0.00422048727135846,0.00427232206985668
"CF",-0.077231364286885,-0.0833584951246663,0.426787051519487,0.424793097153081,0.00405352239739185,0.00409524162770531,-0.0826887647927133,-0.0892782513213732,0.428138054436885,0.42829415376762,0.00425532800639028,0.00426970352315444
"BCF",-0.0166527688400031,-0.0151766508313487,0.365360896917181,0.364152921799372,0.0040452404104917,0.00409447474125208,-0.0268129383085489,-0.0434195078135379,0.368254200432252,0.367626490680223,0.00421184755137741,0.00425975877998057
"S-RF",-0.00294385671593731,0.00526601606422922,0.749535073463839,0.67717416014146,0.0038766004194177,0.00409697563807197,-0.000116076096448449,-0.0233573606653395,0.823016030529937,0.707987536581253,0.00390383925261831,0.00427665984901821
"T-RF",0.0105293877361595,0.0448723371665272,2.56089698160935,2.22975832515131,0.00345302914276856,0.00413938555870997,0.00906812652736984,-0.0269752786742392,2.57552045749377,2.25848147657579,0.00330952028499363,0.00448133390684155
"X-RF",-0.00716355945612507,0.0017654333626893,1.24397437159802,1.22060945899677,0.00395631126841287,0.00410990676214088,-0.0211044594792177,-0.0503379755619018,1.28731835017037,1.2366334470043,0.00397329254591495,0.00430060288820062
