"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.0675115866465977,0.0681950863692051,0.0425471303482354,0.0431994169540518,1.44776734684152e-05,2.66622315233563e-05,0.0617643477056255,0.0649276716523783,0.038340104679755,0.0381663949156636,3.11980243309003e-05,8.28805810070593e-05
"T-BART",0.0732606433785935,0.0757598001599677,0.0392807432591245,0.0424177741313911,1.42152773736129e-05,2.60875144089748e-05,0.0620811340929401,0.0712594303734955,0.0404881289990408,0.0458526092995248,2.99597464848494e-05,8.8869423385284e-05
"X-BART",0.0658034262767587,0.0681121499920662,0.0427825660452203,0.0441093517358664,1.42546120496529e-05,2.63250161197967e-05,0.0626565890093531,0.0682763327399467,0.0427423177393067,0.0419402664225533,3.0081996994378e-05,8.5845122149114e-05
"R-LASSO",0.0639194517935626,0.0640132761539915,0.0374737604049719,0.0380108731433484,1.53114797874573e-05,2.70649434166078e-05,0.0591343699562376,0.0609344495718891,0.032929989094964,0.0342622584859353,3.54913309313887e-05,8.00198805643052e-05
"R-BOOST",0.0681852917006121,0.0690205775877127,0.0252831385477149,0.0260311492024213,1.6268566417047e-05,2.80041486142087e-05,0.0682186945775381,0.070406868752152,0.0316458386608436,0.0346160585458772,3.87970190643468e-05,7.83202636520956e-05
"CF",0.0629866534210213,0.0638264611622334,0.0291109647186172,0.0301925325944059,1.55908364772806e-05,2.74606002757703e-05,0.0614384206029235,0.0625832529471464,0.0290950659631959,0.0323431290499824,3.71277964252772e-05,7.8690242662561e-05
"BCF",0.0654469850609968,0.0670981719624146,0.0529289045015926,0.0539209803804243,1.4178555659065e-05,2.68136077308643e-05,0.0634791555462526,0.0695203234428663,0.0516258088341366,0.0535570885731936,3.33355338173627e-05,8.79796465311931e-05
"S-RF",0.0796604346804816,0.0797672627840309,0.0351923760054784,0.0404456654902802,1.40072867479836e-05,2.63652821052073e-05,0.0624991229224956,0.0804238148110714,0.0331827719608689,0.0476414204733005,2.91404241552732e-05,8.98340335081081e-05
"T-RF",0.0785742873737316,0.0795320658031268,0.0406734169640969,0.0457580618224482,1.38577594429117e-05,2.63208237156081e-05,0.0602007181869624,0.082413879707574,0.0362765628211206,0.0531558927958848,2.99367804629425e-05,9.281361830001e-05
"X-RF",0.0616072873561028,0.0629148268772231,0.0396484331567337,0.0402265361192884,1.46913835729946e-05,2.6900314533528e-05,0.0600276323328632,0.063509246182291,0.038241088156041,0.0422417795325352,3.1200849375608e-05,8.27931172243388e-05
