"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.00587524671101435,0.00508299587203568,0.113485093903148,0.113404651674053,0.000505116385801136,0.000501820928238493,0.00576855266964138,0.00504575673422422,0.115468109561702,0.115751318958101,0.000514200076048462,0.000509445640298474
"T-BART",0.0145645464306778,0.0141545160800563,0.336975239692368,0.334071940316394,0.000499734007572236,0.000502224270128013,0.00465255879483496,0.000616756061742381,0.3322824033411,0.343810155398589,0.000509403380264472,0.000517349884307918
"X-BART",0.0142678409318578,0.0132369508123582,0.167641586690377,0.167228400071431,0.0005037118231508,0.000501028674359549,0.0182761730277534,0.0159536355075957,0.170635445927658,0.173642154592325,0.000514634762398146,0.000511552994053091
"R-LASSO",-0.00184217903984451,-0.00192488690845857,0.060244850243277,0.0603097875997692,0.000505336407557911,0.00050129358586963,-0.00193028707735817,-0.00232755827708523,0.0602710712853239,0.0606775401845635,0.000515773234848692,0.000509310893507715
"R-BOOST",-0.193725021417856,-0.19374720213381,0.193737224570224,0.193759162254828,0.000508599747473655,0.000505063423630001,-0.193721426016047,-0.193732613842545,0.193733649181571,0.193744756859704,0.000512319764438862,0.000505512103042517
"CF",-0.0480136852757028,-0.0485734994011945,0.106673947757248,0.105732218920019,0.000508157038514879,0.000503843951774503,-0.0506842813741787,-0.0523890955292533,0.108092831063423,0.109519261454385,0.000513121888298824,0.00050610684602021
"BCF",0.00127561808018308,0.000401525771668246,0.0483676769798567,0.0483937949395311,0.00050656364174335,0.000502485637044224,-0.00135024646305971,-0.00161438913133514,0.0500760595293517,0.0495949893400759,0.000513737303064197,0.000506860372834877
"S-RF",-0.00110859250134784,-0.000526681577025404,0.0669899750563946,0.0612943725605946,0.000504255413731189,0.00050216319124206,-0.00458573906613364,-0.00518411921776243,0.0731778872337063,0.0663587066950986,0.000510457812908595,0.000507740285532518
"T-RF",-0.00580422244287509,-0.00832360067456567,0.451163505163372,0.394314869767889,0.00049052158243321,0.000502148532483804,-0.0327309137876608,-0.0363784355345027,0.376627003832124,0.400585428903253,0.000500272842800748,0.000522339264198281
"X-RF",-0.0282573666078385,-0.0291307361508157,0.154505188952529,0.151779752623388,0.000505336710380551,0.000503044647285074,-0.0307240974993132,-0.0331465950049539,0.158381069181119,0.156807294948638,0.000510909696152315,0.000508729347082773
