"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",0.241935299654788,0.241601334775742,0.209713958112388,0.209717952495025,0.000588584633321424,0.00138564910065663,0.24523763142081,0.245895100473625,0.205460808983762,0.20639684581846,0.00075291014868857,0.0018099499461131
"T-BART",0.251301454609587,0.250816814937372,0.17543635778283,0.183254281571083,0.000588941346747477,0.00138681168258525,0.252261442339962,0.262672548219895,0.160196796178816,0.168442988015103,0.000759863385597558,0.0018209144443878
"X-BART",0.249032880807125,0.24854699821811,0.176780239426651,0.179607195574016,0.000592818951329512,0.00139525847604247,0.250748387498401,0.255512060864371,0.175891065863386,0.179293427884498,0.000755712914575396,0.00181761552849306
"R-LASSO",0.242240011325409,0.24290049447586,0.220550791102281,0.220974186472764,0.000587575062015019,0.0013847851185768,0.239805803904776,0.23953500176499,0.221184016271706,0.221958259742831,0.000757907244516804,0.00182339453312877
"R-BOOST",0.340525874444655,0.358744377410542,0.345512267632517,0.353897219241507,0.000638988894113741,0.00146753687305871,0.350566785227202,0.383702655640188,0.345372814510032,0.353342751945415,0.00109817329548046,0.00167009457322865
"CF",0.263863887577671,0.263507966397207,0.26939377375323,0.267830286777668,0.000588151467001979,0.00138576727560481,0.262988504021001,0.263910654899905,0.275767129155616,0.276684412831098,0.000757128267245908,0.00181207793469147
"BCF",0.172570961225852,0.172173710373295,0.172008135124093,0.17188248005546,0.000587538201376415,0.00136977559722457,0.177112296347798,0.176107829163748,0.172314239281396,0.171530112828046,0.000753710211931433,0.00184287742957261
"S-RF",0.154956605426652,0.16665263706674,0.206109727606606,0.195706151087312,0.000712017386621198,0.00134201603338017,0.15652582355902,0.168779054946662,0.201358631365385,0.183784934775344,0.000585572827120052,0.00185366752288509
"T-RF",0.269236928579831,0.297558080152402,0.114718064386923,0.151929393830915,0.00048700421830721,0.00136145758366184,0.269098795782652,0.307379110551375,0.126708686599565,0.175156762841924,0.000605722419857658,0.00193500979809915
"X-RF",0.264892474593679,0.278480190006464,0.151063558291327,0.153760603509045,0.000569561933869663,0.00136160453696328,0.27646274291503,0.295010778741935,0.155608864524269,0.163769446705352,0.000751706767879935,0.00190817343378298
