"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",-0.0931244358148943,-0.0955276234764426,0.34416191419016,0.333369684514164,0.00296390567482867,0.00299997521276693,-0.0537495372986876,-0.0477973723628536,0.345727270668589,0.330370009183598,0.00407631962824289,0.00436650653451626
"T-BART",-0.120186996391718,-0.0797954250331519,1.00656791296883,0.985565667496851,0.00291253005829483,0.00299949002110718,-0.0401006235370202,-0.0354277780125683,1.01552372442189,1.01242020397103,0.00399583132061884,0.00443729654890396
"X-BART",-0.115323062333625,-0.0837530231096335,0.784446783640074,0.777332195599915,0.0029411783975507,0.00299737917016686,-0.0369092301569661,-0.0207434995150812,0.733735010200828,0.745427380355832,0.0040372235150858,0.00441467711228655
"R-LASSO",-0.117492329813121,-0.123984653948335,0.349519411905203,0.338753328967875,0.00296611089055206,0.00299944757482596,-0.0704089030178036,-0.0749110249975743,0.30793057858283,0.293760848689913,0.00410060093556241,0.00437220110106789
"R-BOOST",-0.204786272763984,-0.200524969540167,0.540672132567424,0.542545915023043,0.0030459445165392,0.00308723094326522,-0.381791414549863,-0.381890886049794,0.635713111140904,0.638503284601032,0.0039807673517369,0.00420548338610314
"CF",-0.0312395404139175,-0.0250627780416305,0.434196383217222,0.43587773071734,0.00304099673794252,0.00307464849127101,-0.193080356877518,-0.195393070806734,0.490577798963456,0.492941667351709,0.003998160639156,0.00422089401782176
"BCF",-0.0801875268156834,-0.080790560844489,0.401983828435531,0.390550712296932,0.00295649186685893,0.00299592013047543,-0.0290418235915241,-0.0170081676225758,0.390980316533078,0.381593542858231,0.00409308537560226,0.00438279039167572
"S-RF",-0.134870613080933,-0.0471264570409996,2.23997879097453,1.96640375994277,0.00257203579316637,0.00304470357332381,-0.0438021303432882,-0.0721177087963132,2.35614769507111,2.05793932298427,0.00315692385675515,0.00457401504804215
"T-RF",-0.152363618534379,-0.0646758317448497,2.24595794651506,1.96605467030548,0.00256605157971579,0.00304359450729985,-0.0513645706080391,-0.0904877393475047,2.36734639469662,2.06060309609002,0.00314185200541524,0.00457073779829697
"X-RF",-0.0489210443223192,-0.00812406006946226,1.09470900317496,1.07391299750477,0.00291798629138751,0.00302456163839548,-0.0390995844059515,-0.0552234408665324,1.10233933350902,1.06282130364289,0.00379678085094482,0.00438143226296043
