"","CATT_Train_Bias","CATT_Test_Bias","CATT_Train_PEHE","CATT_Test_PEHE","CATT_Train_RLOSS","CATT_Test_RLOSS","CATC_Train_Bias","CATC_Test_Bias","CATC_Train_PEHE","CATC_Test_PEHE","CATC_Train_RLOSS","CATC_Test_RLOSS"
"S-BART",2.59751176300569,2.57614602195243,3.1169452660618,3.10686138329384,0.206171318423635,0.205321438659415,2.63062277329879,2.64002841100202,3.14003183696184,3.15085303035793,0.191079067653106,0.193501194613229
"T-BART",1.94430790603803,1.83617380826277,7.99349538438593,7.80282169101407,0.202629463767506,0.206493427088276,3.75862635004901,3.8039680403566,8.53190655639582,8.48276482684772,0.185692443879713,0.197094616221601
"X-BART",3.80282769867477,3.65003804187615,7.64796615626817,7.52524262645036,0.204070422080685,0.206006626729281,2.68300284562442,2.78738088317863,6.81213048919701,6.97244277093149,0.189217511693211,0.198679344561725
"R-LASSO",3.31849295395534,3.34013009825141,4.94249608582871,4.92925396634711,0.205837695510236,0.205705346889241,3.03744016919996,3.12533957423696,4.62632763612148,4.70318685241137,0.191108393178545,0.195366015596988
"R-BOOST",-0.510192354610172,-0.536614034106244,7.24034072667414,7.19240644673385,0.204227101260526,0.207183425522326,-0.273662501932266,-0.221082174955934,7.10727534030743,7.22913028229084,0.187033949026186,0.199295823561036
"CF",3.10239496312264,3.11032255771959,3.36809840283756,3.33797046318996,0.207243959817556,0.20531085254276,3.08584858566118,3.08610929079386,3.36830102417899,3.31441920498685,0.192990216362264,0.193354256105391
"BCF",1.5834627396958,1.52935013312258,2.89022978089884,2.85478202606785,0.205676596894023,0.205266629986153,1.22782010758253,1.26859940000126,2.63064313043771,2.68004518988165,0.19087416668985,0.194102123699968
"S-RF",-0.270852275563494,-0.302028603295026,4.7227445856056,3.97036281306384,0.197940628539242,0.205800517656405,1.30045989585797,1.21605749672575,4.73203240523364,3.91445703749225,0.178532326803879,0.194168382274764
"T-RF",-1.40967506354835,-1.40188760610307,18.5865885874472,15.5720705983729,0.17495504047841,0.209739081453274,4.72009825790769,4.44712185822177,17.0522082353392,14.4503406324783,0.148382466560395,0.202791150884088
"X-RF",2.63200073268808,2.36280471731981,8.17240929725986,7.9814467004948,0.20100391999739,0.207143326021905,2.23954942175173,2.34211128846775,8.2092439522585,7.95116140528589,0.182342116791171,0.199630707431017
